rockstarid,mvir,rvir,rs,x,y,z
14420397819,1082000000000,208.893,30.684,188.288,486.231,730.058
14420399779,1082000000000,208.893,17.186,230.885,474.065,708.616
14406357889,1058500000000,207.368,21.295,16.4998,305.266,519.985
14406358399,1058500000000,207.368,13.902,127.581,300.76,557.058
14406358789,1058500000000,207.368,10.235,76.8714,287.329,511.24
14419677501,705660000000,181.153,19.07,178.763,363.875,871.63
14419679731,705660000000,181.153,11.194,195.838,328.959,862.442
14419691291,705660000000,181.153,27.106,249.798,361.308,959.404
14419692221,705660000000,181.153,7.761,218.809,317.531,978.765
14419694411,705660000000,181.153,8.219,224.939,376.036,961.477
14419695481,705660000000,181.153,20.21,201.221,316.979,961.258
14419697111,705660000000,181.153,4.772,184.531,389.568,972.033
14419699011,705660000000,181.153,23.795,238.843,328.151,943.996
14419707201,705660000000,181.153,26.109,236.352,436.383,999.786
14419710411,705660000000,181.153,9.972,185.424,332.296,924.144
14419719291,705660000000,181.153,20.441,195.625,330.745,903.652
14419719801,705660000000,181.153,25.995,239.723,390.666,955.791
14407129794,188180000000,116.601,26.715,91.1328,330.683,545.398
14407136354,188180000000,116.601,23.935,36.7242,377.374,517.71
14407138584,188180000000,116.601,31.753,127.247,408.019,568.192
14407144644,188180000000,116.601,25.832,78.7105,316.022,539.994
14407157644,188180000000,116.601,7.033,62.146,444.521,563.538
14407159234,188180000000,116.601,26.121,15.6919,347.027,583.086
14407160004,188180000000,116.601,24.903,115.088,463.138,512.94
14407160854,188180000000,116.601,25.838,148.202,348.468,517.258
14407161574,188180000000,116.601,52.581,146.524,343.973,546.768
14407161654,188180000000,116.601,23.734,114.116,343.269,511.592
14407162914,188180000000,116.601,36.745,111.751,349.62,566.604
14407164254,188180000000,116.601,26.273,115.469,431.416,556.463
14407155577,1199600000000,216.202,40.622,58.8012,342.277,554.224
14407155967,1199600000000,216.202,30.055,57.6642,433.79,528.695
14407156057,1199600000000,216.202,13.714,122.822,458.971,544.248
14407176007,1199600000000,216.202,24.467,145.352,463.118,655.359
14407178057,1199600000000,216.202,15.146,90.3111,415.435,603.16
14407179907,1199600000000,216.202,10.837,136.333,458.431,648.767
14407180237,1199600000000,216.202,13.507,72.3205,320.67,665.362
14407182067,1199600000000,216.202,21.647,158.453,349.769,638.557
14407182997,1199600000000,216.202,31.336,140.161,393.662,646.198
14407187627,1199600000000,216.202,17.181,110.704,336.21,707.038
14407187807,1199600000000,216.202,20.043,132.101,337.277,643.041
14407191277,1199600000000,216.202,18.938,49.4001,349.422,744.797
14407213385,658620000000,177.034,24.208,139.658,453.519,729.954
14407213735,658620000000,177.034,30.56,75.7211,424.92,731.009
14407214135,658620000000,177.034,24.704,129.028,316.174,737.833
14407214595,658620000000,177.034,29.243,45.9546,316.521,669.577
14407913325,658620000000,177.034,10.58,43.9851,497.667,512.978
14407915595,658620000000,177.034,9.319,64.4386,497.653,506.435
14407920885,658620000000,177.034,11.444,63.3395,497.981,553.16
14407939625,658620000000,177.034,12.758,16.4203,471.306,552.317
14407939935,658620000000,177.034,23.664,64.4641,469.231,564.788
14407940115,658620000000,177.034,27.028,155.606,494.515,554.231
14407942645,658620000000,177.034,15.089,130.327,475.204,626.508
14407942715,658620000000,177.034,13.079,148.832,493.213,603.536
14407157632,752700000000,185.092,14.11,76.3499,432.801,587.435
14407157822,752700000000,185.092,31.477,121.762,397.436,545.813
14407158442,752700000000,185.092,13.632,149.214,348.462,543.731
14407159642,752700000000,185.092,9.496,91.5895,465.889,520.722
14407159772,752700000000,185.092,34.604,80.8931,401.898,589.41
14407159872,752700000000,185.092,19.105,83.5442,319.325,586.088
14407159892,752700000000,185.092,16.723,31.585,364.282,542.46
14407160082,752700000000,185.092,14.36,160.415,359.103,502.787
14407160262,752700000000,185.092,19.359,78.9999,383.694,517.819
14407160422,752700000000,185.092,16.284,84.1691,368.495,594.952
14407161272,752700000000,185.092,16.867,74.4752,433.146,590.088
14407161582,752700000000,185.092,30.532,109.844,388.137,570.266
14406515096,2422800000000,273.285,74.949,89.008,308.561,1038.36
14406554686,2422800000000,273.285,18.541,149.563,273.307,1166.46
14406554886,2422800000000,273.285,103.694,149.305,279.689,1119.59
14406555496,2422800000000,273.285,25.932,108.468,251.355,1182.92
14407292386,2422800000000,273.285,38.4,97.4538,324.389,1055.78
14407293046,2422800000000,273.285,27.556,76.6192,323.151,1070.21
14407327916,2422800000000,273.285,22.033,152.342,373.691,1173.69
14407332826,2422800000000,273.285,20.182,72.2104,333.046,1109.34
14407342076,2422800000000,273.285,34.494,96.2067,395.825,1229.62
14418930666,2422800000000,273.285,91.706,180.095,260.278,1084.61
14418977946,2422800000000,273.285,42.665,229.652,277.411,1102.81
14419697326,2422800000000,273.285,37.415,238.809,350.566,1064.28
14406402313,682140000000,179.117,15.843,122.032,270.906,677.158
14406408693,682140000000,179.117,15.056,144.228,268.294,618.518
14406415323,682140000000,179.117,12.765,103.166,264.281,724.258
14406417223,682140000000,179.117,63.38,134.591,291.809,703.532
14406425713,682140000000,179.117,12.281,62.2351,279.167,641.865
14406426043,682140000000,179.117,20.408,92.9456,275.896,699.152
14406427113,682140000000,179.117,49.176,9.93661,298.698,660.853
14406428453,682140000000,179.117,21.921,18.8155,310.377,737.992
14406429433,682140000000,179.117,24.011,1.87475,256.369,617.663
14406429723,682140000000,179.117,15.729,41.1037,307.344,660.091
14406430063,682140000000,179.117,9.898,30.6505,250.814,679.5
14406430983,682140000000,179.117,28.992,95.2825,259.476,676.728
14406359999,1058500000000,207.368,69.096,93.7537,309.748,583.307
14406361919,1058500000000,207.368,35.052,45.1217,268.903,558.202
14406361989,1058500000000,207.368,29.121,125.276,273.979,508.621
14406364699,1058500000000,207.368,19.666,76.3823,305.134,604.512
14406366939,1058500000000,207.368,29.238,2.88927,288.271,527.477
14406368809,1058500000000,207.368,39.619,123.377,277.155,520.843
14406369819,1058500000000,207.368,37.644,140.326,254.048,553.265
14406373409,1058500000000,207.368,16.525,53.7771,254.84,530.753
14406373749,1058500000000,207.368,22.563,114.75,254.891,546.652
14406374099,1058500000000,207.368,29.918,43.3139,252.57,599.857
14406374959,1058500000000,207.368,17.132,159.239,271.748,538.771
14406375249,1058500000000,207.368,43.957,40.0753,261.702,556.19
14407165154,188180000000,116.601,2.247,47.6882,415.424,515.004
14407166464,188180000000,116.601,29.691,75.4533,355.24,539.08
14407169384,188180000000,116.601,17.66,59.3215,320.969,589.477
14407169634,188180000000,116.601,49.294,97.4204,403.717,587.767
14407170094,188180000000,116.601,30.026,54.9401,433.974,529.16
14407170724,188180000000,116.601,30.455,107.692,339.431,568.055
14407171344,188180000000,116.601,12.89,134.332,464.054,589.341
14407171684,188180000000,116.601,36.997,122.231,324.968,543.968
14407173154,188180000000,116.601,19.466,80.0564,377.101,558.295
14407173234,188180000000,116.601,26.84,17.0486,352.516,594.379
14407173534,188180000000,116.601,33.196,114.22,419.591,535.164
14407174054,188180000000,116.601,29.362,73.8799,406.346,562.758
14407944185,658620000000,177.034,7.144,113.226,468.192,570.732
14407944765,658620000000,177.034,12.627,115.646,495.23,536.34
14407946365,658620000000,177.034,29.58,139.209,468.518,624.717
14407946765,658620000000,177.034,20.367,71.9926,475.099,519.4
14407947785,658620000000,177.034,32.853,104.509,472.055,503.306
14407947955,658620000000,177.034,16.637,10.5692,473.631,553.146
14407967275,658620000000,177.034,8.817,110.726,481.713,687.025
14407968695,658620000000,177.034,15.633,117.409,474.058,675.424
14407976065,658620000000,177.034,10.566,37.1694,478.019,639.413
14407978385,658620000000,177.034,37.743,145.572,477.201,681.852
14407982105,658620000000,177.034,18.416,65.4259,492.138,677.926
14407983035,658620000000,177.034,31.263,153.234,469.165,657.896
14419756066,2422800000000,273.285,252.503,199.472,448.384,1111.06
14419757876,2422800000000,273.285,34.995,237.405,363.161,1067.79
14419758056,2422800000000,273.285,17.178,185.774,432.85,1161.95
14419759886,2422800000000,273.285,224.665,199.517,394.026,1071.2
14419788976,2422800000000,273.285,9.011,188.146,314.507,1244.57
14420521606,2422800000000,273.285,44.876,246.564,473.34,1192.31
14420535446,2422800000000,273.285,34.248,217.265,483.403,1157.28
14420536446,2422800000000,273.285,178.476,192.407,498.554,1195.85
14406515306,2399200000000,272.398,118.157,33.8344,302.532,1010.77
14406560036,2399200000000,272.398,29.433,76.2542,284.699,1213.39
14406563756,2399200000000,272.398,94.294,21.3067,283.872,1227.08
14407342366,2399200000000,272.398,29.899,79.4717,434.241,1145.66
14406376369,1058500000000,207.368,23.493,28.9753,267.743,604.472
14406378399,1058500000000,207.368,50.534,37.5081,250.975,607.787
14406378679,1058500000000,207.368,21.206,82.7312,253.798,510.998
14406401039,1058500000000,207.368,8.008,123.926,286.664,681.845
14406403809,1058500000000,207.368,25.691,55.1969,280.005,627.811
14406412649,1058500000000,207.368,26.847,147.266,303.538,714.308
14406413599,1058500000000,207.368,17.716,28.1488,309.174,666.849
14406417329,1058500000000,207.368,16.379,133.9,262.799,700.769
14406425319,1058500000000,207.368,15.106,80.4385,257.012,674.125
14406426859,1058500000000,207.368,19.67,55.4859,305.748,623.447
14406427889,1058500000000,207.368,21.798,61.2433,294.255,652.033
14406429179,1058500000000,207.368,49.007,145.503,291.892,704.18
14407991505,658620000000,177.034,37.397,112.601,497.727,709.006
14407992905,658620000000,177.034,22.519,104.071,481.811,674.654
14407995465,658620000000,177.034,17.454,121.893,489.331,694.338
14407996385,658620000000,177.034,8.197,49.1593,495.32,703.803
14407996445,658620000000,177.034,18.647,21.448,476.893,633.497
14407997595,658620000000,177.034,35.917,60.8338,486.481,727.369
14407997635,658620000000,177.034,21.109,17.5853,489.236,713.063
14418763475,658620000000,177.034,8.048,239.857,253.1,573.446
14418765985,658620000000,177.034,14.127,246.059,277.574,519.208
14418769555,658620000000,177.034,6.399,174.402,306.327,543.67
14418771705,658620000000,177.034,11.925,168.518,280.875,574.697
14418772395,658620000000,177.034,40.496,190.021,269.182,550.581
14419501098,352830000000,143.781,5.427,234.719,324.667,344.715
14419501508,352830000000,143.781,13.281,231.502,356.531,317.006
14419502068,352830000000,143.781,57.438,238.177,379.135,310.69
14419502748,352830000000,143.781,7.738,241.177,403.276,367.489
14419503888,352830000000,143.781,11.477,227.248,339.667,282.592
14419504028,352830000000,143.781,6.146,229.676,389.719,343.278
14419504448,352830000000,143.781,9.341,232.681,315.438,389.987
14419504788,352830000000,143.781,15.938,204.387,406.107,359.905
14419506608,352830000000,143.781,23.255,206.167,335.277,418.938
14419516838,352830000000,143.781,11.315,196.315,422.472,343.016
14419520038,352830000000,143.781,7.891,242.539,361.058,329.161
14419521158,352830000000,143.781,27.853,185.659,418.071,345.094
14407175464,188180000000,116.601,35.305,36.9848,454.899,527.171
14407175644,188180000000,116.601,32.428,30.5467,370.186,593.314
14407175894,188180000000,116.601,16.497,106.723,455.912,747.322
14407176514,188180000000,116.601,16.068,129.649,403.748,731.833
14407178654,188180000000,116.601,29.806,147.058,352.552,647.141
14407181234,188180000000,116.601,36.114,89.1758,359.881,725.816
14407206234,188180000000,116.601,30.971,14.6672,376.857,638.055
14407207144,188180000000,116.601,21.4,41.1796,386.232,715.478
14407210824,188180000000,116.601,46.493,90.2125,331.386,632.23
14407211474,188180000000,116.601,11.872,27.3151,454.273,667.469
14407213514,188180000000,116.601,26.033,116.583,376.889,745.58
14407214074,188180000000,116.601,17.923,134.661,416.299,698.414
14407162132,752700000000,185.092,51.59,8.18684,403.773,537.478
14407162852,752700000000,185.092,15.875,84.4432,418.184,530.418
14407176042,752700000000,185.092,15.981,145.376,463.966,653.69
14407176272,752700000000,185.092,7.149,34.7891,392.729,620.441
14407176812,752700000000,185.092,13.239,163.728,430.793,617.865
14407177902,752700000000,185.092,16.725,28.6464,365.898,629.997
14407180172,752700000000,185.092,22.907,6.59858,403.849,669.955
14407182462,752700000000,185.092,40.642,13.138,398.342,739.066
14407184612,752700000000,185.092,21.685,163.373,391.336,707.928
14407184672,752700000000,185.092,25.982,113.367,352.382,648.748
14407185252,752700000000,185.092,23.934,6.67352,374.765,662.15
14407189052,752700000000,185.092,12.336,4.43283,361.694,723.674
14407195827,1199600000000,216.202,13.203,151.802,435.159,661.432
14407196687,1199600000000,216.202,62.61,143.335,333.604,687.715
14407196797,1199600000000,216.202,17.84,161.787,343.608,640.894
14407198427,1199600000000,216.202,24.243,155.257,451.934,744.12
14407199597,1199600000000,216.202,39.356,109.216,444.492,734.522
14407200017,1199600000000,216.202,29.947,89.3851,425.026,661.228
14407200267,1199600000000,216.202,17.328,99.7377,428.77,730.478
14407200677,1199600000000,216.202,19.333,0.29892,324.295,632.405
14407200737,1199600000000,216.202,16.412,140.344,446.689,637.781
14407201017,1199600000000,216.202,23.812,13.0311,442.541,671.176
14407202147,1199600000000,216.202,26.181,0.13238,346.759,683.296
14407202597,1199600000000,216.202,8.394,136.523,381.578,714.105
14407214924,188180000000,116.601,27.423,154.956,462.679,610.888
14407214974,188180000000,116.601,16.696,88.51,392.918,606.721
14407215664,188180000000,116.601,10.959,139.273,439.36,603.028
14407216484,188180000000,116.601,14.446,98.955,462.88,662.427
14407217274,188180000000,116.601,22.074,95.9277,347.449,706.892
14407219294,188180000000,116.601,37.984,91.2237,327.834,608.476
14407221354,188180000000,116.601,13.872,140.117,385.627,632.85
14407221574,188180000000,116.601,6.916,61.9379,360.788,734.027
14407221674,188180000000,116.601,31.552,24.391,365.304,697.537
14407221734,188180000000,116.601,23.648,45.1775,462.595,639.121
14407221764,188180000000,116.601,37.798,27.5191,462.474,668.598
14407222704,188180000000,116.601,23.57,62.5458,398.754,692.087
14406443690,446920000000,155.569,19.303,72.9275,310.564,612.274
14406444210,446920000000,155.569,38.264,133.444,303.552,646.073
14406444670,446920000000,155.569,22.743,69.8041,257.058,730.099
14406444710,446920000000,155.569,24.165,2.57282,278.001,726.698
14406444810,446920000000,155.569,7.983,68.4509,270.667,683.188
14406445310,446920000000,155.569,9.652,95.9407,308.527,696.838
14406446600,446920000000,155.569,18.766,89.777,306.307,712.025
14406446760,446920000000,155.569,16.043,93.1412,309.938,656.148
14406447250,446920000000,155.569,33.753,7.66504,307.413,726.317
14406447320,446920000000,155.569,18.381,72.3417,298.944,638.589
14407127440,446920000000,155.569,37.638,93.1895,348.514,546.972
14407127600,446920000000,155.569,15.46,116.864,410.466,565.039
14407202737,1199600000000,216.202,11.429,41.84,450.131,623.011
14407909707,1199600000000,216.202,29.177,30.8073,479.267,510.384
14407922547,1199600000000,216.202,38.694,8.20913,496.188,550.097
14407933987,1199600000000,216.202,41.321,109.426,470.422,583.438
14407934117,1199600000000,216.202,34.573,82.5158,478.153,501.462
14407935157,1199600000000,216.202,20.098,118.223,493.266,587.601
14407977957,1199600000000,216.202,14.546,97.7829,491.173,658.08
14407983507,1199600000000,216.202,47.456,133.295,475.257,633.176
14407983807,1199600000000,216.202,36.65,149.75,483.003,661.885
14418763427,1199600000000,216.202,35.064,239.468,255.296,569.534
14418788527,1199600000000,216.202,37.824,235.396,302.326,507.382
14418788657,1199600000000,216.202,35.33,193.781,308.146,594.951
14406431463,682140000000,179.117,9.599,62.2803,308.733,725.948
14406431533,682140000000,179.117,4.117,14.0408,304.323,624.234
14406433043,682140000000,179.117,20.408,99.7145,298.973,610.422
14406433233,682140000000,179.117,24.055,34.3643,259.851,748.654
14406433443,682140000000,179.117,49.751,142.298,304.039,715.034
14406433453,682140000000,179.117,42.894,165.516,269.357,743.407
14406433813,682140000000,179.117,9.955,15.1545,256.381,632.212
14406434803,682140000000,179.117,16.237,37.6522,285.646,629.965
14406435003,682140000000,179.117,28.516,105.576,274.653,724.951
14406436463,682140000000,179.117,30.31,64.1715,285.435,663.268
14407128543,682140000000,179.117,13.61,59.0881,433.224,504.989
14407129583,682140000000,179.117,5.073,12.2752,395.068,587.124
14407342516,2399200000000,272.398,26.681,149.581,428.681,1237.06
14407342646,2399200000000,272.398,33.761,146.137,317.338,1164.62
14407385726,2399200000000,272.398,23.552,28.9232,425.432,1245.22
14408073506,2399200000000,272.398,59.637,84.3398,493.597,1053.65
14418930276,2399200000000,272.398,9.056,173.974,254.798,1039.76
14418977336,2399200000000,272.398,23.565,221.274,265.407,1104.67
14419693426,2399200000000,272.398,50.252,234.107,372.165,1039.39
14419701666,2399200000000,272.398,29.557,202.17,412.784,1001.72
14419758536,2399200000000,272.398,199.629,236.595,362.316,1118.62
14419758706,2399200000000,272.398,27.01,237.582,423.147,1174.46
14419796166,2399200000000,272.398,86.384,184.554,423.062,1234.39
14419807216,2399200000000,272.398,27.689,175.571,437.996,1227.45
14407223344,188180000000,116.601,21.644,106.785,418.725,738.568
14407224404,188180000000,116.601,32.456,13.2324,393.91,635.046
14407224604,188180000000,116.601,14.484,22.1182,316.625,631.187
14407909844,188180000000,116.601,11.567,14.3481,484.879,586.932
14407910994,188180000000,116.601,41.093,16.703,490.018,509.792
14407913014,188180000000,116.601,33.326,148.585,485.76,554.645
14407913854,188180000000,116.601,44.296,134.012,472.297,543.526
14407914364,188180000000,116.601,41.455,102.05,487.464,517.399
14407947454,188180000000,116.601,18.679,41.0572,489.791,507.028
14407953014,188180000000,116.601,27.858,12.0579,497.357,516.133
14407955104,188180000000,116.601,8.558,36.8821,492.394,504.06
14407956214,188180000000,116.601,40.703,30.065,473.734,518.149
14407127719,1058500000000,207.368,19.596,125.093,316.809,546.555
14407130039,1058500000000,207.368,12.293,91.3205,362.578,583.299
14407130099,1058500000000,207.368,5.579,20.5223,361.931,534.067
14407132659,1058500000000,207.368,18.541,165.369,320.02,553.12
14407132969,1058500000000,207.368,16.307,83.3408,400.59,582.069
14407134679,1058500000000,207.368,10.652,84.6007,328.171,500.706
14407141369,1058500000000,207.368,15.572,96.1045,457.019,593.469
14407142249,1058500000000,207.368,24.643,74.9118,449.226,582.634
14407142619,1058500000000,207.368,23.721,124.549,415.642,588.603
14407145299,1058500000000,207.368,22.076,107.737,316.954,538.436
14407146879,1058500000000,207.368,25.864,81.9839,318.434,564.108
14407148149,1058500000000,207.368,33.248,82.1651,441.631,519.813
14407131883,682140000000,179.117,19.833,59.8569,414.497,582.599
14407131903,682140000000,179.117,21.338,44.4997,407.914,515.376
14407133783,682140000000,179.117,14.865,110.381,329.947,563.305
14407134633,682140000000,179.117,20.06,87.0855,465.966,515.804
14407135533,682140000000,179.117,36.828,62.4424,412.001,589.962
14407136923,682140000000,179.117,11.045,137.429,368.811,564.307
14407137413,682140000000,179.117,43.543,75.2164,416.126,575.859
14407138763,682140000000,179.117,11.065,73.7722,405.79,600.718
14407140353,682140000000,179.117,20.761,53.2686,437.672,559.728
14407140613,682140000000,179.117,37.973,55.8918,346.514,556.663
14407145053,682140000000,179.117,27.013,33.9794,364.693,543.499
14407146193,682140000000,179.117,16.034,116.291,418.846,576.998
14407127870,446920000000,155.569,24.617,70.5759,433.076,516.082
14407128310,446920000000,155.569,15.699,133.394,360.359,514.755
14407128740,446920000000,155.569,10.606,64.1261,442.22,586.454
14407129130,446920000000,155.569,17.403,67.4871,317.491,501.518
14407129470,446920000000,155.569,6.734,72.8784,432.861,567.471
14407129690,446920000000,155.569,31.016,21.8319,356.883,591.971
14407130240,446920000000,155.569,7.151,123.831,322.57,519.421
14407131510,446920000000,155.569,30.735,100.436,345.148,543.7
14407132130,446920000000,155.569,5.55,50.0609,376.068,550.033
14407132430,446920000000,155.569,11.484,33.348,464.081,549.57
14407132800,446920000000,155.569,31.27,46.8095,433.767,533.131
14407134290,446920000000,155.569,18.995,97.8076,369.552,516.772
14407147153,682140000000,179.117,22.027,73.221,384.958,530.734
14407147733,682140000000,179.117,9.014,79.6767,314.119,585.053
14407148993,682140000000,179.117,16.341,47.5221,413.525,584.582
14407153333,682140000000,179.117,21.7,138.865,358.757,514.995
14407155143,682140000000,179.117,11.268,79.4889,460.342,506.14
14407155913,682140000000,179.117,20.791,118.915,345.602,549.052
14407156623,682140000000,179.117,11.23,56.4554,442.505,588.992
14407156823,682140000000,179.117,22.167,153.903,329.913,566.467
14407157473,682140000000,179.117,7.443,12.0126,346.607,591.178
14407157983,682140000000,179.117,10.367,70.2952,418.292,502.543
14407158323,682140000000,179.117,10.416,15.3146,345.341,597.504
14407159133,682140000000,179.117,12.371,61.0283,444.607,559.373
14418942011,705660000000,181.153,16.416,172.67,251.274,970.327
14418945011,705660000000,181.153,9.199,197.835,293.384,993.815
14418945501,705660000000,181.153,14.308,186.428,273.7,970.698
14419648641,705660000000,181.153,6.877,180.352,408.486,857.18
14419650901,705660000000,181.153,23.609,177.693,312.575,877.636
